语法分析完成, 0 error.
line 20: =,赋值号                                              栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式           
line 20: i,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式    
line 20: i,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项 
line 20: i,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子
line 20: i,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 20: i,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 20: i,标识符                                              栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE
line 20: +,算符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1
line 20: +,算符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1   
line 20: +,算符       产生式: 加法表达式1-->+ 项 加法表达式1                栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项 +
line 20: +,算符                                               栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项 
line 20: 2,数值       产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子
line 20: 2,数值       产生式: 因子-->num                           栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 num
line 20: 2,数值                                               栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1
line 20: *,算符       产生式: 项1-->* 因子 项1                       栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子 *
line 20: *,算符                                               栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子
line 20: j,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 20: j,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 20: j,标识符                                              栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE
line 20: ;,界符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1
line 20: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1   
line 20: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1          
line 20: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 } 语句串1 ;               
line 20: ;,界符                                               栈: # 声明串1 } 语句串1 } 语句串1                 
line 21: },右大括号     产生式: 语句串1-->NULL                        栈: # 声明串1 } 语句串1 }                      
line 21: },右大括号                                             栈: # 声明串1 } 语句串1                        
line 22: return,关键字 产生式: 语句串1-->语句 语句串1                     栈: # 声明串1 } 语句串1 语句                     
line 22: return,关键字 产生式: 语句-->return语句                      栈: # 声明串1 } 语句串1 return语句               
line 22: return,关键字 产生式: return语句-->return 返回值              栈: # 声明串1 } 语句串1 返回值 return             
line 22: return,关键字                                         栈: # 声明串1 } 语句串1 返回值                    
line 22: i,标识符      产生式: 返回值-->表达式 ;                        栈: # 声明串1 } 语句串1 ; 表达式                  
line 22: i,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 22: i,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 22: i,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 22: i,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 22: i,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 22: i,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 
line 22: ;,界符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 22: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 22: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1                 
line 22: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ;                      
line 22: ;,界符                                               栈: # 声明串1 } 语句串1                        
line 23: },右大括号     产生式: 语句串1-->NULL                        栈: # 声明串1 }                             
line 23: },右大括号                                             栈: # 声明串1                               
line 25: int,关键字    产生式: 声明串1-->声明 声明串1                     栈: # 声明串1 声明                            
line 25: int,关键字    产生式: 声明-->int ID 声明类型                   栈: # 声明串1 声明类型 ID int                   
line 25: int,关键字                                            栈: # 声明串1 声明类型 ID                       
line 25: demo,标识符   产生式: ID-->标识符                           栈: # 声明串1 声明类型 标识符                      
line 25: demo,标识符                                           栈: # 声明串1 声明类型                          
line 25: (,左括号      产生式: 声明类型-->函数声明                        栈: # 声明串1 函数声明                          
line 25: (,左括号      产生式: 函数声明-->( 形参 ) 语句块                  栈: # 声明串1 语句块 ) 形参 (                    
line 25: (,左括号                                              栈: # 声明串1 语句块 ) 形参                      
line 25: int,关键字    产生式: 形参-->参数列表                          栈: # 声明串1 语句块 ) 参数列表                    
line 25: int,关键字    产生式: 参数列表-->参数 参数列表1                    栈: # 声明串1 语句块 ) 参数列表1 参数                
line 25: int,关键字    产生式: 参数-->int ID                        栈: # 声明串1 语句块 ) 参数列表1 ID int            
line 25: int,关键字                                            栈: # 声明串1 语句块 ) 参数列表1 ID                
line 25: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 语句块 ) 参数列表1 标识符               
line 25: a,标识符                                              栈: # 声明串1 语句块 ) 参数列表1                   
line 25: ),右括号      产生式: 参数列表1-->NULL                       栈: # 声明串1 语句块 )                         
line 25: ),右括号                                              栈: # 声明串1 语句块                           
line 26: {,左大括号     产生式: 语句块-->{ 内部声明 语句串 }                 栈: # 声明串1 } 语句串 内部声明 {                  
line 26: {,左大括号                                             栈: # 声明串1 } 语句串 内部声明                    
line 27: a,标识符      产生式: 内部声明-->内部声明1                       栈: # 声明串1 } 语句串 内部声明1                   
line 27: a,标识符      产生式: 内部声明1-->NULL                       栈: # 声明串1 } 语句串                         
line 27: a,标识符      产生式: 语句串-->语句 语句串1                      栈: # 声明串1 } 语句串1 语句                     
line 27: a,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 赋值语句                   
line 27: a,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 ; 表达式 = ID             
line 27: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式 = 标识符            
line 27: a,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式 =                
line 27: =,赋值号                                              栈: # 声明串1 } 语句串1 ; 表达式                  
line 27: a,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 27: a,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 27: a,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 27: a,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 27: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 27: a,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 
line 27: +,算符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 27: +,算符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 27: +,算符       产生式: 加法表达式1-->+ 项 加法表达式1                栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项 +      
line 27: +,算符                                               栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 27: 1,数值       产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 27: 1,数值       产生式: 因子-->num                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 num   
line 27: 1,数值                                               栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 27: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 27: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1                 
line 27: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ;                      
line 27: ;,界符                                               栈: # 声明串1 } 语句串1                        
line 28: return,关键字 产生式: 语句串1-->语句 语句串1                     栈: # 声明串1 } 语句串1 语句                     
line 28: return,关键字 产生式: 语句-->return语句                      栈: # 声明串1 } 语句串1 return语句               
line 28: return,关键字 产生式: return语句-->return 返回值              栈: # 声明串1 } 语句串1 返回值 return             
line 28: return,关键字                                         栈: # 声明串1 } 语句串1 返回值                    
line 28: 2,数值       产生式: 返回值-->表达式 ;                        栈: # 声明串1 } 语句串1 ; 表达式                  
line 28: 2,数值       产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 28: 2,数值       产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 28: 2,数值       产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 28: 2,数值       产生式: 因子-->num                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 num   
line 28: 2,数值                                               栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 28: *,算符       产生式: 项1-->* 因子 项1                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子 *  
line 28: *,算符                                               栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 28: a,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 28: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 28: a,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 
line 28: ;,界符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 28: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 28: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1                 
line 28: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ;                      
line 28: ;,界符                                               栈: # 声明串1 } 语句串1                        
line 29: },右大括号     产生式: 语句串1-->NULL                        栈: # 声明串1 }                             
line 29: },右大括号                                             栈: # 声明串1                               
line 31: void,关键字   产生式: 声明串1-->声明 声明串1                     栈: # 声明串1 声明                            
line 31: void,关键字   产生式: 声明-->void ID 函数声明                  栈: # 声明串1 函数声明 ID void                  
line 31: void,关键字                                           栈: # 声明串1 函数声明 ID                       
line 31: main,标识符   产生式: ID-->标识符                           栈: # 声明串1 函数声明 标识符                      
line 31: main,标识符                                           栈: # 声明串1 函数声明                          
line 31: (,左括号      产生式: 函数声明-->( 形参 ) 语句块                  栈: # 声明串1 语句块 ) 形参 (                    
line 31: (,左括号                                              栈: # 声明串1 语句块 ) 形参                      
line 31: void,关键字   产生式: 形参-->void                          栈: # 声明串1 语句块 ) void                    
line 31: void,关键字                                           栈: # 声明串1 语句块 )                         
line 31: ),右括号                                              栈: # 声明串1 语句块                           
line 32: {,左大括号     产生式: 语句块-->{ 内部声明 语句串 }                 栈: # 声明串1 } 语句串 内部声明 {                  
line 32: {,左大括号                                             栈: # 声明串1 } 语句串 内部声明                    
line 33: int,关键字    产生式: 内部声明-->内部声明1                       栈: # 声明串1 } 语句串 内部声明1                   
line 33: int,关键字    产生式: 内部声明1-->内部变量声明 ; 内部声明1             栈: # 声明串1 } 语句串 内部声明1 ; 内部变量声明          
line 33: int,关键字    产生式: 内部变量声明-->int ID                    栈: # 声明串1 } 语句串 内部声明1 ; ID int          
line 33: int,关键字                                            栈: # 声明串1 } 语句串 内部声明1 ; ID              
line 33: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串 内部声明1 ; 标识符             
line 33: a,标识符                                              栈: # 声明串1 } 语句串 内部声明1 ;                 
line 33: ;,界符                                               栈: # 声明串1 } 语句串 内部声明1                   
line 34: int,关键字    产生式: 内部声明1-->内部变量声明 ; 内部声明1             栈: # 声明串1 } 语句串 内部声明1 ; 内部变量声明          
line 34: int,关键字    产生式: 内部变量声明-->int ID                    栈: # 声明串1 } 语句串 内部声明1 ; ID int          
line 34: int,关键字                                            栈: # 声明串1 } 语句串 内部声明1 ; ID              
line 34: b,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串 内部声明1 ; 标识符             
line 34: b,标识符                                              栈: # 声明串1 } 语句串 内部声明1 ;                 
line 34: ;,界符                                               栈: # 声明串1 } 语句串 内部声明1                   
line 35: int,关键字    产生式: 内部声明1-->内部变量声明 ; 内部声明1             栈: # 声明串1 } 语句串 内部声明1 ; 内部变量声明          
line 35: int,关键字    产生式: 内部变量声明-->int ID                    栈: # 声明串1 } 语句串 内部声明1 ; ID int          
line 35: int,关键字                                            栈: # 声明串1 } 语句串 内部声明1 ; ID              
line 35: c,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串 内部声明1 ; 标识符             
line 35: c,标识符                                              栈: # 声明串1 } 语句串 内部声明1 ;                 
line 35: ;,界符                                               栈: # 声明串1 } 语句串 内部声明1                   
line 36: a,标识符      产生式: 内部声明1-->NULL                       栈: # 声明串1 } 语句串                         
line 36: a,标识符      产生式: 语句串-->语句 语句串1                      栈: # 声明串1 } 语句串1 语句                     
line 36: a,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 赋值语句                   
line 36: a,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 ; 表达式 = ID             
line 36: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式 = 标识符            
line 36: a,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式 =                
line 36: =,赋值号                                              栈: # 声明串1 } 语句串1 ; 表达式                  
line 36: 3,数值       产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 36: 3,数值       产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 36: 3,数值       产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 36: 3,数值       产生式: 因子-->num                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 num   
line 36: 3,数值                                               栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 36: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 36: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1                 
line 36: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ;                      
line 36: ;,界符                                               栈: # 声明串1 } 语句串1                        
line 37: b,标识符      产生式: 语句串1-->语句 语句串1                     栈: # 声明串1 } 语句串1 语句                     
line 37: b,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 赋值语句                   
line 37: b,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 ; 表达式 = ID             
line 37: b,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式 = 标识符            
line 37: b,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式 =                
line 37: =,赋值号                                              栈: # 声明串1 } 语句串1 ; 表达式                  
line 37: 4,数值       产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 37: 4,数值       产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 37: 4,数值       产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 37: 4,数值       产生式: 因子-->num                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 num   
line 37: 4,数值                                               栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 37: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 37: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1                 
line 37: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ;                      
line 37: ;,界符                                               栈: # 声明串1 } 语句串1                        
line 38: c,标识符      产生式: 语句串1-->语句 语句串1                     栈: # 声明串1 } 语句串1 语句                     
line 38: c,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 赋值语句                   
line 38: c,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 ; 表达式 = ID             
line 38: c,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式 = 标识符            
line 38: c,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式 =                
line 38: =,赋值号                                              栈: # 声明串1 } 语句串1 ; 表达式                  
line 38: 2,数值       产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 38: 2,数值       产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 38: 2,数值       产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 38: 2,数值       产生式: 因子-->num                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 num   
line 38: 2,数值                                               栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 38: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 38: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1                 
line 38: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ;                      
line 38: ;,界符                                               栈: # 声明串1 } 语句串1                        
line 39: a,标识符      产生式: 语句串1-->语句 语句串1                     栈: # 声明串1 } 语句串1 语句                     
line 39: a,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 赋值语句                   
line 39: a,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 ; 表达式 = ID             
line 39: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式 = 标识符            
line 39: a,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式 =                
line 39: =,赋值号                                              栈: # 声明串1 } 语句串1 ; 表达式                  
line 39: program,标识符产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 39: program,标识符产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 39: program,标识符产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 39: program,标识符产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 39: program,标识符产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 39: program,标识符                                        栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 
line 39: (,左括号      产生式: FTYPE-->call                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 call  
line 39: (,左括号      产生式: call-->( 实参列表 )                    栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表 (
line 39: (,左括号                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表
line 39: a,标识符      产生式: 实参列表-->表达式 实参列表1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式
line 39: a,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式
line 39: a,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项
line 39: a,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 因子
line 39: a,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE ID
line 39: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE 标识符
line 39: a,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE
line 39: ,,分隔符      产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1
line 39: ,,分隔符      产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1
line 39: ,,分隔符      产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1
line 39: ,,分隔符      产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1
line 39: ,,分隔符      产生式: 实参列表1-->, 表达式 实参列表1                栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式 ,
line 39: ,,分隔符                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式
line 39: b,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式
line 39: b,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项
line 39: b,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 因子
line 39: b,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE ID
line 39: b,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE 标识符
line 39: b,标识符                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE
line 39: ,,分隔符      产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1
line 39: ,,分隔符      产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1
line 39: ,,分隔符      产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1
line 39: ,,分隔符      产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1
line 39: ,,分隔符      产生式: 实参列表1-->, 表达式 实参列表1                栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式 ,
line 39: ,,分隔符                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式
line 39: demo,标识符   产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式
line 39: demo,标识符   产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项
line 39: demo,标识符   产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 因子
line 39: demo,标识符   产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE ID
line 39: demo,标识符   产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE 标识符
line 39: demo,标识符                                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 FTYPE
line 39: (,左括号      产生式: FTYPE-->call                       栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 call
line 39: (,左括号      产生式: call-->( 实参列表 )                    栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 ) 实参列表 (
line 39: (,左括号                                              栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 ) 实参列表
line 39: c,标识符      产生式: 实参列表-->表达式 实参列表1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 ) 实参列表1 表达式
line 39: c,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式
line 39: c,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项
line 39: c,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 ) 实参列表1 表达式1 加法表达式1 项1 因子
